uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
9740576H;COLLEGE LES TAMARINS;65;88.0;86.0;46;76.3;26.9
9740596E;COLLEGE ANTOINE SOUBOU;125;69.0;93.0;70;80.5;30.7
9740645H;COLLEGE ROBERT J  ARDON - MONTGAILLARD;186;82.0;88.0;119;73.2;26.8
9740811N;COLLEGE TERRE SAINTE;129;84.0;88.0;83;80.6;29.5
9741045T;COLLEGE TITAN;115;77.0;89.0;68;79.1;26.8
9741048W;COLLEGE POINTE DES CHATEAUX;167;84.0;92.0;110;98.6;41.1
9741088P;COLLEGE PRIVE MARTHE ROBIN;77;99.0;91.0;61;114.1;32.4
9741208V;COLLEGE ELIE WIESEL DU CHAUDRON;88;75.0;94.0;52;73.8;24.1
9760094Y;COLLEGE BAKARI KUSU;252;60.0;94.0;87;59.7;17.6
9760230W;COLLEGE DE MTSAMBORO;343;72.0;95.0;154;70.4;29.1
9760245M;COLLEGE ZAKIA MADI;400;65.0;95.0;181;64.5;19.9
9760308F;COLLEGE OUVOIMOJA;451;58.0;93.0;136;74.0;24.7
9760368W;COLLEGE DE KWALE;352;59.0;94.0;118;59.6;18.6
9760379H;COLLEGE DE BOUENI;118;86.0;92.0;73;100.1;31.6
0010005A;COLLEGE ROGER POULNARD;127;93.0;95.0;101;110.4;31.3
0010042R;COLLEGE BEL AIR;131;92.0;95.0;105;100.4;31.8
0010046V;COLLEGE DU RENON;83;93.0;97.0;62;102.5;32.2
0010794H;COLLEGE DU VALROMEY;67;84.0;92.0;46;102.1;32.0
0010796K;COLLEGE EMILE CIZAIN;126;96.0;95.0;90;110.9;35.8
0010821M;COLLEGE EUGENE DUBOIS;137;88.0;93.0;96;106.0;30.9
0010896U;COLLEGE INTERNATIONAL;260;90.0;83.0;215;131.2;35.5
0011142L;COLLEGE MARCEL AYME;126;91.0;93.0;81;108.3;32.7
0011257L;COLLEGE DE LA DOMBES;143;88.0;90.0;113;126.4;31.0
0011300H;COLLEGE DE LA PLAINE DE L'AIN;145;97.0;95.0;127;113.9;33.5
0020011B;COLLEGE FRANCOIS TRUFFAUT;187;86.0;96.0;121;100.7;30.7
0020015F;COLLEGE JACQUES CARTIER;127;91.0;93.0;97;101.7;33.4
0020017H;COLLEGE LEOPOLD SENGHOR;63;83.0;96.0;44;94.5;30.8
0020038F;COLLEGE JOSEPH BOURY;96;79.0;96.0;60;95.6;25.7
0020055Z;COLLEGE GABRIEL HANOTAUX;83;87.0;78.0;60;90.4;30.0
0020075W;COLLEGE GEORGES COBAST;86;73.0;88.0;42;80.5;28.9
0021491K;COLLEGE MAURICE WAJSFELNER;86;86.0;94.0;60;101.2;33.1
0021535H;COLLEGE LAMARTINE;94;81.0;90.0;64;100.8;35.4
0021661V;COLLEGE VILLARD DE HONNECOURT;72;85.0;93.0;45;85.6;28.2
0021691C;COLLEGE SAINT JUST;127;89.0;90.0;98;93.0;34.0
0021721K;COLLEGE CHARLES BRAZIER;69;87.0;94.0;49;94.4;29.6
0030002L;COLLEGE JEAN ROSTAND;79;86.0;97.0;60;94.8;34.2
0030013Y;COLLEGE LOUIS PERGAUD;68;99.0;93.0;59;97.7;28.0
0030119N;COLLEGE JULES VERNE;33;100.0;85.0;28;90.5;33.7
0030892D;COLLEGE BLAISE DE VIGENERE;105;86.0;96.0;67;95.9;30.5
0030956Y;COLLEGE LOUIS ARAGON;68;97.0;95.0;59;99.0;29.3
0040044B;COLLEGE MARIA BORRELY;83;84.0;94.0;55;93.7;36.1
0040051J;COLLEGE J M G  ITARD (DOCTEUR);78;94.0;93.0;57;104.1;30.4
0040052K;COLLEGE CAMILLE REYMOND;148;91.0;94.0;99;101.2;30.8
0040055N;COLLEGE JEAN GIONO;120;87.0;94.0;71;87.8;30.2
0040419J;COLLEGE ANDRE HONNORAT;84;86.0;91.0;56;111.4;30.0
0040420K;COLLEGE PAUL ARENE;119;93.0;95.0;81;104.1;32.1
0040461E;COLLEGE PRIVE LE SACRE COEUR;67;99.0;68.0;58;113.3;25.8
0040524Y;COLLEGE PIERRE GIRARDOT;117;97.0;97.0;92;112.3;34.2
0050022X;COLLEGE FRANCOIS MITTERRAND;65;88.0;90.0;41;100.5;27.7
0050480V;COLLEGE FONTREYNE (DE);147;98.0;90.0;130;109.4;32.4
0050562J;COLLEGE PRIVE ST JOSEPH;141;99.0;82.0;132;119.1;26.8
0050638S;COLLEGE MARIE MARVINGT;92;96.0;93.0;80;105.6;27.9
0060061J;COLLEGE AUGUSTE BLANQUI;54;83.0;83.0;34;99.5;27.8
0060063L;COLLEGE JEAN FRANCO;49;98.0;84.0;38;113.6;30.9
0060083H;COLLEGE FERSEN;141;96.0;89.0;117;110.8;31.0
0060823M;COLLEGE PRIVE SAINT PHILIPPE NERI;62;100.0;89.0;58;120.7;29.3
0061002G;COLLEGE ALPHONSE DAUDET;142;86.0;78.0;94;92.6;30.0
0061209G;COLLEGE JEAN COCTEAU;114;92.0;85.0;89;114.3;33.5
0061237M;COLLEGE LA VESUBIE-JEAN SALINES;44;91.0;92.0;33;97.9;27.0
0061459D;COLLEGE PRIVE FENELON;219;100.0;90.0;203;135.1;26.5
0061461F;COLLEGE PRIVE STANISLAS;144;100.0;91.0;139;139.6;21.5
0061670H;COLLEGE L'EGANAUDE;197;99.0;91.0;183;131.2;34.6
0061694J;COLLEGE L'ARCHET;186;94.0;89.0;149;117.8;36.8
0061737F;COLLEGE ANDRE MALRAUX;125;98.0;93.0;98;115.1;34.2
0061824A;COLLEGE GUILLAUME VENTO;172;81.0;88.0;102;94.5;29.7
0061925K;COLLEGE NIKI DE SAINT PHALLE;201;100.0;91.0;200;142.8;31.9
